bib_key,title,year,venue,venue_tier,llm_score,llm_reason,is_survey,suggested,your_decision,role_notes
Xu2020What,What Can Neural Networks Reason About?,2020,,3,5,"Introduces the highly influential algorithmic alignment framework, which provides the theoretical foundation for how neural networks and Graph Neural Networks simulate algorithms and reason about them.",FALSE,FALSE,no,
Veli_kovi_2020Neural,Neural Execution of Graph Algorithms,2020,,3,5,A foundational method paper that popularized neural algorithmic reasoning (NAR) by training GNNs to mimic classical graph algorithms step-by-step.,FALSE,FALSE,no,
velivckovic2021neural,Neural algorithmic reasoning,2021,,3,5,"The definitive position paper that formally defines and establishes the field of Neural Algorithmic Reasoning, linking deep learning with classical algorithms.",FALSE,FALSE,no,
velivckovic2022clrs,The clrs algorithmic reasoning benchmark,2022,,3,5,"Introduces the CLRS algorithmic reasoning benchmark, which has become the standard benchmark used by almost all subsequent research in this field.",FALSE,FALSE,no,
dudzik2022graph,Graph neural networks are dynamic programmers,2022,,3,4,"Provides a deep theoretical bridge connecting Graph Neural Networks and dynamic programming via category theory, establishing a rigorous mathematical basis for algorithmic alignment.",FALSE,FALSE,no,
numeroso2023dual,Dual Algorithmic Reasoning,2023,,3,3,An interesting method paper that introduces primal-dual formulation learning to improve generalization in neural algorithmic reasoning.,FALSE,FALSE,no,
bevilacqua2023neural,Neural algorithmic reasoning with causal regularisation,2023,,3,3,"Proposes Hint-ReLIC, enhancing out-of-distribution generalization in NAR using causal regularization on intermediate trajectories.",FALSE,FALSE,no,
bounsi2024transformers,Transformers meet neural algorithmic reasoners,2024,,3,3,"Proposes a hybrid architecture (TransNAR) combining Transformers and GNNs, addressing a key intersection of language models and algorithmic reasoners.",FALSE,FALSE,no,
bohde2024on,On the Markov Property of Neural Algorithmic Reasoning: Analyses and Methods,2024,,3,3,Addresses the Markov property of algorithmic reasoning by proposing ForgetNet to improve validation on the CLRS benchmark.,FALSE,FALSE,no,
de2024simulation,Simulation of Graph Algorithms with Looped Transformers,2024,,3,4,A highly valuable theoretical analysis proving that looped transformers can simulate standard graph algorithms with size-independent parameters.,FALSE,FALSE,yes,
georgiev2024deep,Deep equilibrium algorithmic reasoning,2024,,3,3,"Introduces an equilibrium-based approach (DEQ) to neural algorithmic reasoning, moving away from step-by-step recurrence.",FALSE,FALSE,yes,
li2024open,Open-book neural algorithmic reasoning,2024,,3,3,"Proposes an open-book retrieval-augmented method for algorithmic reasoning, facilitating multi-task generalization.",FALSE,FALSE,yes,
estermann2024puzzles,Puzzles: A benchmark for neural algorithmic reasoning,2024,,3,4,"Introduces PUZZLES, a high-quality evaluation benchmark focusing on logic and reinforcement learning within algorithmic reasoning.",FALSE,FALSE,yes,
mcleish2024transformers,Transformers can do arithmetic with the right embeddings,2024,,3,4,A highly cited and foundational method for improving arithmetic reasoning in transformers using relative digit position embeddings (Abacus Embeddings).,FALSE,FALSE,yes,
sanford2024understanding,Understanding transformer reasoning capabilities via graph algorithms,2024,,3,4,"Provides a rigorous, foundational analysis of transformer scaling regimes and representational capabilities when solving graph algorithms.",FALSE,FALSE,yes,
panagiotaki2024nar,Nar-* icp: Neural execution of classical icp-based pointcloud registration algorithms,2025,,3,2,A highly specialized domain application of neural algorithmic reasoning to point-cloud registration (ICP).,FALSE,FALSE,no,
schutz2025tackling,Tackling gnarly problems: Graph neural algorithmic reasoning reimagined through reinforcement learning,2025,,3,3,Reformulates NAR as an RL problem (GNARL) to solve NP-hard problems without relying on step-by-step supervision from expert algorithms.,FALSE,FALSE,no,
rodionov2025discrete,Discrete Neural Algorithmic Reasoning,2025,,3,3,Proposes decoupling discrete and continuous data flows for perfect out-of-distribution algorithmic generalization.,FALSE,FALSE,yes,
he2025primal,Primal-Dual Neural Algorithmic Reasoning,2025,,3,3,Develops a primal-dual bipartite GNN framework targeting approximation algorithms for combinatorial problems.,FALSE,FALSE,yes,
povzgajknarsack,KNARsack: Teaching Neural Algorithmic Reasoners to Solve Pseudo-Polynomial Problems,2025,,3,2,A specific method paper applying dynamic programming supervision to the pseudo-polynomial Knapsack problem.,FALSE,FALSE,no,
wuleveraging,Leveraging Classical Algorithms for Graph Neural Networks,2025,,3,3,A useful study showing that pretraining GNNs on CLRS algorithmic tasks transfers algorithmic inductive biases to molecular property prediction.,FALSE,FALSE,no,
xurecurrent,Recurrent Aggregators in Neural Algorithmic Reasoning,2025,,3,3,A specialized methodology replacing equivariant aggregators with recurrent networks to improve performance on ordered tasks like sorting.,FALSE,FALSE,no,
hashemi2026tropical,Tropical attention: Neural algorithmic reasoning for combinatorial algorithms,2025,,3,3,"Introduces Tropical Attention, a geometrically-grounded mechanism to enhance algorithmic reasoning for NP-hard problems.",FALSE,FALSE,yes,
